"Reference","Qty","Part name"
"C1,C2,C4,C5,C8,C13,C15,C16,C17,C19,C21,C22,C23,C24,C30,C31,C48,C49,C56,C58","20","0603B104K101XD"
"C3,C34,C35","3","KGM32LCG3D102JU"
"C6,C25,C36,C54,C55","5","0603B105K500XD"
"C7,C9,C28,C50,C51,C52,C53,C57","8","1206W226K250PB"
"C10,C37","2","0603B223K500SD"
"C11,C12","2","0603B682K101SD"
"C14,C20,C29","3","0603B103K101SD"
"C18","1","0603W475K160XD"
"C26","1","1206B473K251GB"
"C27","1","EEH-ZA1J220XP"
"C32,C33","2","1206B225K101PB"
"C38,C39","2","0603N101J101SD"
"C40,C41,C44,C45,C46,C47","6","0603W106M250XD"
"C42,C43","2","EEH-ZA1E101XP"
"D1,D2","2","SS210-HF"
"D3,D4","2","GG0603052R542P"
"D5","1","SMBJ58CA-13-F"
"D6,D7,D8,D9,D13","5","MMSD4148T1G"
"D10","1","BAT54ST-7-F"
"D11","1","TL431DBZ"
"D12,D14","2","MMSZ5240BT1G"
"D15","1","1N4148W-13-F"
"J1","1","PJ-002AH-SMT-TR"
"J2","1","PJ-002AH-SMT-TR"
"J3","1","DX07S016JA1R1500"
"J4","1","ARJP11A-MASA-B-A-EMU2"
"J5","1","B6B-ZR-SM4-TF"
"J6","1","B5B-ZR-SM4-TF"
"J7","1","B4B-ZR-SM4-TF"
"J8","1","B4B-ZR-SM4-TF"
"J9","1","0022272031"
"J10","1","0022272031"
"J11","1","0022272031"
"K1","1","G6K-2G-TR DC5"
"L1,L2,L3,L4","4","MPZ2012S101AT000"
"L5,L6,L14","3","BLM21PG600SN1D"
"L7","1","FBMH1608HL121-TV"
"L8","1","SRF3225TAP-501Y"
"L9","1","SRU8028-3R3Y"
"L10","1","LPS6235-155MRC"
"L11","1","SRR1280-220M"
"L12","1","DR74-3R3-R"
"L13","1","DR74-2R2-R"
"Q1","1","BC846BPDW1T1G"
"Q2","1","FDMC2523P"
"Q3","1","FDS86242"
"Q4,Q7","2","CSD19534Q5A"
"Q5,Q6","2","FCX493TA"
"Q8","1","MMBT3904-7-F"
"R1","1","RCS08051M00FKEA"
"R2,R3","2","RCS06035K10FKEA"
"R4","1","RCS060322K1FKEA"
"R5,R6,R12,R21,R22,R23,R25,R26,R27,R55","10","RCS06030000Z0EA"
"R7,R28,R29,R30,R31,R51","6","RCS06031K00FKEA"
"R8","1","RCS060347K5FKEA"
"R9,R10,R11,R40,R49,R52,R57,R59,R60,R61,R62","11","RCS060310K0FKEA"
"R13","1","RCS060310R0FKEA"
"R14,R15,R16,R17","4","RCS060349R9FKEA"
"R18","1","RCS060312K4FKEA"
"R19,R20,R70","3","RCS0603330RFKEA"
"R24","1","RCS060333R0FKEA"
"R32,R36,R41","3","RCS06031K00FKEA"
"R33","1","RCS06034K64FKEA"
"R34","1","RCS060369K8FKEA"
"R35","1","RCS060340K2FKEA"
"R37","1","RCS060363K4FKEA"
"R38,R47","2","RCS060324K9FKEA"
"R39,R43","2","RCS06034R70FKEA"
"R42","1","RCS0603499RFKEA"
"R44","1","RCS06032R49FKEA"
"R45","1","RCWE1206R100FKEA"
"R46,R48,R50,R54","4","RCS06032K00FKEA"
"R53","1","RCS06032K61FKEA"
"R56","1","RCS060356K2FKEA"
"R58","1","RCS060333K2FKEA"
"R63,R64,R65,R66,R67,R68,R69","7","RCS06034K70FKEA"
"RN1","1","EXB-V8V3R3JV"
"SW1","1","FSMSM"
"SW2","1","FSMSM"
"T1","1","PA4065NL"
"U1","1","USBLC6-2SC6"
"U2","1","CP2102N-A02-GQFN24R"
"U3","1","ESDS314DBVR"
"U4","1","W5500"
"U5","1","TPS23754PWPR"
"U6","1","HMHA2801A"
"U7","1","PC357N4J000F"
"U8,U9","2","TPS563208DDCR"
"U10","1","ESP32-C6-WROOM-1U-N16"
"U11","1","SN74AHCT1G125DCKR"
"Y1","1","ECS-2520MV-250-BN-TR"
